Trial;sampling_date;date;treatment;plot ;fieldrep;depth;depth_class;C_proz;N_proz;K_mgkg;P_mgkg
trial C;22.03.2017;4;5;5;1;105;4;0,375023618;0,049043553;72,1214388;11,48
trial C;22.03.2017;4;6;6;1;30;1;0,880601817;0,090166649;136,3774443;84,05
trial C;22.03.2017;4;6;6;1;45;2;0,553491127;0,056354613;209,9396368;36,11
trial C;22.03.2017;4;6;6;1;75;3;0,374821626;0,03492242;63,7127439;15,14
trial C;22.03.2017;4;6;6;1;105;4;0,443262104;0,048344155;66,82565125;8,58
trial C;22.03.2017;4;5;7;2;30;1;0,925352526;0,089912151;148,5127163;75,7
trial C;22.03.2017;4;5;7;2;45;2;0,680158709;0,06487597;249,4441642;57,76
trial C;22.03.2017;4;5;7;2;75;3;0,39712561;0,036504551;65,4982414;18,7
trial C;22.03.2017;4;5;7;2;105;4;0,371201592;0,047361858;74,2399024;9,6
trial C;22.03.2017;4;6;8;2;30;1;0,865836767;0,079635206;122,2576723;67,56
trial C;22.03.2017;4;6;8;2;45;2;0,862610104;0,061941886;182,5831677;33,32
trial C;22.03.2017;4;6;8;2;75;3;0,854288533;0,040042711;67,1100515;24,76
trial C;22.03.2017;4;6;8;2;105;4;0,942925493;0,0416245;74,8203903;13,3
trial C;22.03.2017;4;4;9;2;30;1;0,929653863;0,094331543;128,2162773;81,3
trial C;22.03.2017;4;4;9;2;45;2;0,587270246;0,056262742;181,6782833;42,57
trial C;22.03.2017;4;4;9;2;75;3;0,395065044;0,03470812;62,49106845;23,52
trial C;22.03.2017;4;4;9;2;105;4;0,38348204;0,044786711;63,19545875;11,46
trial C;22.03.2017;4;3;10;2;30;1;0,937992997;0,087138057;161,4540981;77,03
trial C;22.03.2017;4;3;10;2;45;2;0,689012839;0,072839468;270,3240627;62,24
trial C;22.03.2017;4;3;10;2;75;3;0,373200837;0,044408401;73,99733394;20,28
trial C;22.03.2017;4;3;10;2;105;4;0,356422522;0,046798863;72,13406479;7,6
trial C;22.03.2017;4;1;11;2;30;1;0,959360827;0,098756248;174,1918777;90,77
trial C;22.03.2017;4;1;11;2;45;2;0,698401872;0,075948457;293,2850812;66,58
trial C;22.03.2017;4;1;11;2;75;3;0,401235339;0,047348665;85,01589009;21,06
trial C;22.03.2017;4;1;11;2;105;4;0,379823314;0,049742886;72,72652788;8,28
trial C;22.03.2017;4;2;12;2;30;1;0,966014951;0,101330426;173,545295;88,44
trial C;22.03.2017;4;2;12;2;45;2;0,710415671;0,076623673;277,0421785;63,09
trial C;22.03.2017;4;2;12;2;75;3;0,392029274;0,046332207;66,65377715;23,56
trial C;22.03.2017;4;2;12;2;105;4;0,367557623;0,041785386;58,74240635;13,48
trial C;22.03.2017;4;2;13;3;30;1;0,9211665;0,089557776;163,384373;72,75
trial C;22.03.2017;4;2;13;3;45;2;0,640452629;0,064297233;245,2710269;44,77
trial C;22.03.2017;4;2;13;3;75;3;0,404419554;0,043328731;75,14730006;22,52
trial C;22.03.2017;4;2;13;3;105;4;0,365876368;0,041446846;72,30128075;11,55
trial C;22.03.2017;4;3;14;3;30;1;0,946609625;0,096618293;184,7853049;93,3
trial C;22.03.2017;4;3;14;3;45;2;0,736700298;0,073758596;292,5902073;63
trial C;22.03.2017;4;3;14;3;75;3;0,438013233;0,048321979;83,45143899;25,3
trial C;22.03.2017;4;3;14;3;105;4;0,331478834;0,038440931;74,31829274;7,63
trial C;22.03.2017;4;1;15;3;30;1;1,000535508;0,101607444;186,4361035;80,32
trial C;22.03.2017;4;1;15;3;45;2;0,765957767;0,075922619;328,9922961;66,67
trial C;22.03.2017;4;1;15;3;75;3;0,437010009;0,046190163;91,42875916;19,6
trial C;22.03.2017;4;1;15;3;105;4;0,388943351;0,041466489;75,63655603;8,94
trial C;22.03.2017;4;6;16;3;30;1;1,044914054;0,103176978;178,0440715;78,75
trial C;22.03.2017;4;6;16;3;45;2;0,715863757;0,078626897;269,1421621;50,6
trial C;22.03.2017;4;6;16;3;75;3;0,405781113;0,049798673;58,13532969;14,4
trial C;22.03.2017;4;6;16;3;105;4;0,344814826;0,041374114;63,26004737;5,66
trial C;22.03.2017;4;5;17;3;30;1;1,048343964;0,109937204;180,8820116;74,08
trial C;22.03.2017;4;5;17;3;45;2;0,645159906;0,066662644;280,0155668;41,69
trial C;22.03.2017;4;5;17;3;75;3;0,404068778;0,048987729;68,28603196;14,02
trial C;22.03.2017;4;5;17;3;105;4;0,393075119;0,039270608;56,5476749;5,85
trial C;22.03.2017;4;4;18;3;30;1;1,060218286;0,108842374;164,1054247;63,51
trial C;22.03.2017;4;4;18;3;45;2;0,726462513;0,07578132;230,4971363;41,09
trial C;22.03.2017;4;4;18;3;75;3;0,395867174;0,046447457;60,43108875;15,14
trial C;22.03.2017;4;4;18;3;105;4;0,367795366;0,03943015;60,41286606;6,73
trial C;22.03.2017;4;5;19;4;30;1;1,083091842;0,110073823;198,0229684;120,07
trial C;22.03.2017;4;5;19;4;45;2;0,73343499;0,080382559;322,4325878;74,33
trial C;22.03.2017;4;5;19;4;75;3;0,405211324;0,047022796;82,67386173;21,78
trial C;22.03.2017;4;5;19;4;105;4;0,313886528;0,034454713;74,82151963;7,06
trial C;22.03.2017;4;4;20;4;30;1;1,060511203;0,109632809;165,58695;64,82
trial C;22.03.2017;4;4;20;4;45;2;0,722330185;0,075510634;243,4076849;42,05
trial C;22.03.2017;4;4;20;4;75;3;0,418085771;0,048381629;55,72346587;19,16
trial C;22.03.2017;4;4;20;4;105;4;0,690992687;0,036009172;48,78998444;6,19
trial C;22.03.2017;4;6;21;4;30;1;1,042799461;0,106338717;169,1424314;67,79
trial C;22.03.2017;4;6;21;4;45;2;0,578937334;0,063313469;222,3188857;25,76
trial C;22.03.2017;4;6;21;4;75;3;0,367728114;0,044625609;58,7158779;11,66
trial C;22.03.2017;4;6;21;4;105;4;0,518714001;0,038840922;45,21550664;6,28
trial C;22.03.2017;4;3;22;4;30;1;1,011832721;0,106888336;192,8622793;101,48
trial C;22.03.2017;4;3;22;4;45;2;0,580396052;0,065082801;294,9476545;32,14
trial C;22.03.2017;4;3;22;4;75;3;0,386539993;0,047240791;79,05282877;15,48
trial C;22.03.2017;4;3;22;4;105;4;0,338369424;0,040394523;67,76153955;8,35
trial C;22.03.2017;4;2;23;4;30;1;1,05301167;0,109948437;178,8191936;83,61
trial C;22.03.2017;4;2;23;4;45;2;0,636607662;0,072121298;269,6227894;31,63
trial C;22.03.2017;4;2;23;4;75;3;0,420523997;0,052731044;75,93160356;14,14
trial C;22.03.2017;4;2;23;4;105;4;0,78889289;0,034675381;63,63660286;6,5
trial C;22.03.2017;4;1;24;4;30;1;1,013068439;0,105938089;143,1175746;73,05
trial C;22.03.2017;4;1;24;4;45;2;0,562895487;0,063035073;188,8339975;16,39
trial C;22.03.2017;4;1;24;4;75;3;0,351117805;0,043085877;54,71746242;10,1
trial C;22.03.2017;4;1;24;4;105;4;0,845845146;0,034292174;49,63296198;6,86
