Trial;sampling_date;date;treatment;plot ;fieldrep;depth;depth_class;C_proz;N_proz;K_mgkg;P_mgkg
trial C;11.03.2014;1;1;15;3;75;3;0,39643565;0,05755534;79,5545462;20,80234887
trial C;11.03.2014;1;1;15;3;105;4;0,32108508;0,04546051;54,04265344;8,671052877
trial C;11.03.2014;1;6;16;3;30;1;1,02860957;0,11162608;206,8250573;106,2198003
trial C;11.03.2014;1;6;16;3;45;2;0,90623722;0,10013962;108,3067487;6,734257722
trial C;11.03.2014;1;6;16;3;75;3;0,4221374;0,05732019;179,52294;203,4218006
trial C;11.03.2014;1;6;16;3;105;4;0,29744312;0,04747073;70,52140618;10,11263798
trial C;11.03.2014;1;5;17;3;30;1;1,04490056;0,11579649;62,95495596;14,07927713
trial C;11.03.2014;1;5;17;3;45;2;0,92536362;0,10263336;357,9703574;83,28265308
trial C;11.03.2014;1;5;17;3;75;3;0,43225404;0,06140547;152,1061724;92,99052327
trial C;11.03.2014;1;5;17;3;105;4;0,31842842;0,04853767;61,84255332;9,952248306
trial C;11.03.2014;1;4;18;3;30;1;1,04650983;0,11828849;51,45010224;11,52374999
trial C;11.03.2014;1;4;18;3;45;2;0,8652637;0,09967487;409,7709594;93,45304544
trial C;11.03.2014;1;4;18;3;75;3;0,45127406;0,06448248;179,1981471;123,4152527
trial C;11.03.2014;1;4;18;3;105;4;0,31547879;0,0476798;73,33833615;7,34901449
trial C;11.03.2014;1;5;19;4;30;1;1,01285895;0,11484977;59,29187631;7,537399793
trial C;11.03.2014;1;5;19;4;45;2;0,77235482;0,09031717;430,386944;87,72538639
trial C;11.03.2014;1;5;19;4;75;3;0,39699647;0,05655137;177,8393203;171,1309141
trial C;11.03.2014;1;5;19;4;105;4;0,30387985;0,04572265;79,5545462;10,40117444
trial C;11.03.2014;1;4;20;4;30;1;1,02368916;0,11849356;54,04265344;8,671052877
trial C;11.03.2014;1;4;20;4;45;2;0,8681313;0,10557667;341,0596342;79,9140055
trial C;11.03.2014;1;4;20;4;75;3;0,40509326;0,05906771;193,0012272;245,4301077
trial C;11.03.2014;1;4;20;4;105;4;0,47089922;0,04250083;162,1906284;75,28313337
trial C;11.03.2014;1;6;21;4;30;1;1,11010607;0,12185034;53,99810514;8,561114135
trial C;11.03.2014;1;6;21;4;45;2;0,78489979;0,09328247;0;0
trial C;11.03.2014;1;6;21;4;75;3;0,38457915;0,05549596;157,831145;177,0969658
trial C;11.03.2014;1;6;21;4;105;4;0,38453929;0,04369309;60,52148677;8,243646984
trial C;11.03.2014;1;3;22;4;30;1;1,06513223;0,11977492;193,0012272;122,7150538
trial C;11.03.2014;1;3;22;4;45;2;0,79180988;0,09219678;324,3812569;75,28313337
trial C;11.03.2014;1;3;22;4;75;3;0,37277961;0,05377722;0;0
trial C;11.03.2014;1;3;22;4;105;4;0,32450116;0,04772244;53,99810514;8,561114135
trial C;11.03.2014;1;2;23;4;30;1;1,03683958;0,11670137;170,9549941;108,7247224
trial C;11.03.2014;1;2;23;4;45;2;0,86893863;0,10195461;315,66229;88,54848289
trial C;11.03.2014;1;2;23;4;75;3;0,42508629;0,06059854;60,52148677;16,48729397
trial C;11.03.2014;1;2;23;4;105;4;0,87378379;0,04123341;67,66718416;0
trial C;11.03.2014;1;1;24;4;30;1;1,02713164;0,11783593;175,0700673;105,0664617
trial C;11.03.2014;1;1;24;4;45;2;0,80565535;0,09765473;288,2063495;72,41207106
trial C;11.03.2014;1;1;24;4;75;3;0,40343637;0,05824219;83,7809873;0
trial C;11.03.2014;1;1;24;4;105;4;0,57571344;0,04395611;72,4922554;0
trial C;08.04.2015;2;1;1;1;30;1;0,99;0,11;213,4759357;143,1186368
trial C;08.04.2015;2;1;1;1;45;2;0,75;0,09;339,484182;91,12493479
trial C;08.04.2015;2;1;1;1;75;3;0,46;0,06;96,12987138;29,55987854
trial C;08.04.2015;2;1;1;1;105;4;0,38;0,05;98,07189455;20,08484146
trial C;08.04.2015;2;2;2;1;30;1;0,95;0,1;184,1501142;80,62915875
trial C;08.04.2015;2;2;2;1;45;2;0,71;0,08;313,5521544;69,7848929
