Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;8;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;5;0,226;0,226;0;1,13;1,13;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;10;0,256;0,256;0;1,28;1,28;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;15;0,144;0,144;0;0,72;0,72;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;20;0,224;0,224;0;1,12;1,12;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;25;0,192;0,192;0;0,96;0,96;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;30;0,17;0,17;0;0,85;0,85;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;35;0,154;0,15;0,004;0,77;0,75;0,02;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;40;0,158;0,148;0,01;0,79;0,74;0,05;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;45;0,082;0,056;0,026;0,41;0,28;0,13;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;50;0,056;0,038;0,018;0,28;0,19;0,09;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;55;0,014;0,014;0;0,07;0,07;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;60;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;65;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;16;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;5;0,326;0,326;0;1,63;1,63;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;10;0,344;0,344;0;1,72;1,72;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;15;0,492;0,452;0,04;2,46;2,26;0,2;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;20;0,504;0,504;0;2,52;2,52;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;25;0,552;0,552;0;2,76;2,76;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;30;0,446;0,446;0;2,23;2,23;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;35;0,404;0,404;0;2,02;2,02;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;40;0,48;0,468;0,012;2,4;2,34;0,06;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;45;0,472;0,43;0,042;2,36;2,15;0,21;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;50;0,144;0,1;0,044;0,72;0,5;0,22;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;55;0,102;0,046;0,056;0,51;0,23;0,28;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;60;0,08;0,008;0,072;0,4;0,04;0,36;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;65;0,016;0;0,016;0,08;0;0,08;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;70;0,008;0,008;0;0,04;0,04;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;17;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;5;0,39;0,39;0;1,95;1,95;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;10;0,48;0,48;0;2,4;2,4;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;15;0,542;0,542;0;2,71;2,71;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;20;0,32;0,32;0;1,6;1,6;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;25;0,368;0,368;0;1,84;1,84;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;30;0,346;0,346;0;1,73;1,73;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;35;0,34;0,34;0;1,7;1,7;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;40;0,308;0,278;0,03;1,54;1,39;0,15;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;45;0,208;0,164;0,044;1,04;0,82;0,22;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;50;0,06;0,046;0,014;0,3;0,23;0,07;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;55;0,062;0,026;0,036;0,31;0,13;0,18;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;60;0,034;0,004;0,03;0,17;0,02;0,15;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;65;0,002;0,002;0;0,01;0,01;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;70;0,002;0,002;0;0,01;0,01;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;75;0,004;0,004;0;0,02;0,02;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;5;19;;5;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;5;0,44;0,44;0;2,2;2,2;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;10;0,356;0,356;0;1,78;1,78;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;15;0,406;0,406;0;2,03;2,03;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;20;0,612;0,612;0;3,06;3,06;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;25;0,482;0,482;0;2,41;2,41;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;30;0,334;0,326;0,008;1,67;1,63;0,04;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;35;0,352;0,33;0,022;1,76;1,65;0,11;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;40;0,174;0,146;0,028;0,87;0,73;0,14;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;45;0,09;0,04;0,05;0,45;0,2;0,25;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;50;0,062;0,016;0,046;0,31;0,08;0,23;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;55;0,01;0,002;0,008;0,05;0,01;0,04;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;60;0,01;0,004;0,006;0,05;0,02;0,03;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;65;0,002;0;0,002;0,01;0;0,01;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;70;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;75;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;80;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;85;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;90;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;95;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;100;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;105;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;110;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;115;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;120;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;125;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;130;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;135;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;140;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;145;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;150;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;155;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;160;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;165;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;170;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;5;0,62;0,62;0;3,1;3,1;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;10;0,526;0,526;0;2,63;2,63;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;15;0,72;0,72;0;3,6;3,6;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;20;0,662;0,662;0;3,31;3,31;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;25;0,688;0,612;0,076;3,44;3,06;0,38;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;30;0,59;0,57;0,02;2,95;2,85;0,1;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;35;0,518;0,496;0,022;2,59;2,48;0,11;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;40;0,47;0,428;0,042;2,35;2,14;0,21;;;;;;;;;;;;
