Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2013-05-21;6;21;6;;75-105cm;1,556159783;;
trial C;2013-05-21;3;22;3;;0-30cm;97,72481572;;
trial C;2013-05-21;3;22;3;;30-45cm;13,09390236;;
trial C;2013-05-21;3;22;3;;45-75cm;9,538289159;;
trial C;2013-05-21;3;22;3;;75-105cm;1,125602909;;
trial C;2013-05-21;2;23;2;;0-30cm;109,7527203;;
trial C;2013-05-21;2;23;2;;30-45cm;22,4089107;;
trial C;2013-05-21;2;23;2;;45-75cm;4,972225225;;
trial C;2013-05-21;2;23;2;;75-105cm;9,209214314;;
trial C;2013-05-21;1;24;1;;0-30cm;55,31996183;;
trial C;2013-05-21;1;24;1;;30-45cm;21,2590457;;
trial C;2013-05-21;1;24;1;;45-75cm;10,83573009;;
trial C;2013-05-21;1;24;1;;75-105cm;16,24981188;;
;;;;;;;;;
trial C;2013-06-26;2;13;2;;0-30cm;7,052996291;Nmin 2013 last MA 45 korr, Tabellenblatt Trial C sortiert;
trial C;2013-06-26;2;13;2;;30-45cm;4,693912754;;
trial C;2013-06-26;2;13;2;;45-75cm;2,707216868;;
trial C;2013-06-26;2;13;2;;75-105cm;1,059872642;;
trial C;2013-06-26;3;14;3;;0-30cm;5,18028624;;
trial C;2013-06-26;3;14;3;;30-45cm;3,698308477;;
trial C;2013-06-26;3;14;3;;45-75cm;5,452191647;;
trial C;2013-06-26;3;14;3;;75-105cm;1,001547466;;
trial C;2013-06-26;1;15;1;;0-30cm;9,253919862;;
trial C;2013-06-26;1;15;1;;30-45cm;4,292026624;;
trial C;2013-06-26;1;15;1;;45-75cm;6,144925532;;
trial C;2013-06-26;1;15;1;;75-105cm;1,331230312;;
trial C;2013-06-26;6;16;6;;0-30cm;7,690391242;;
trial C;2013-06-26;6;16;6;;30-45cm;1,560604822;;
trial C;2013-06-26;6;16;6;;45-75cm;1,096765349;;
trial C;2013-06-26;6;16;6;;75-105cm;2,724161312;;
trial C;2013-06-26;5;17;5;;0-30cm;15,01639272;;
trial C;2013-06-26;5;17;5;;30-45cm;1,214900494;;
trial C;2013-06-26;5;17;5;;45-75cm;1,115872529;;
trial C;2013-06-26;5;17;5;;75-105cm;1,079252382;;
trial C;2013-06-26;4;18;4;;0-30cm;44,83213943;;
trial C;2013-06-26;4;18;4;;30-45cm;7,178683428;;
trial C;2013-06-26;4;18;4;;45-75cm;1,570239256;;
trial C;2013-06-26;4;18;4;;75-105cm;1,315786206;;
trial C;2013-06-26;5;19;5;;0-30cm;16,01929985;;
trial C;2013-06-26;5;19;5;;30-45cm;3,443479894;;
trial C;2013-06-26;5;19;5;;45-75cm;2,281994277;;
trial C;2013-06-26;5;19;5;;75-105cm;0,701988161;;
trial C;2013-06-26;4;20;4;;0-30cm;33,8187503;;
trial C;2013-06-26;4;20;4;;30-45cm;4,918063117;;
trial C;2013-06-26;4;20;4;;45-75cm;3,985861942;;
trial C;2013-06-26;4;20;4;;75-105cm;2,22448026;;
trial C;2013-06-26;6;21;6;;0-30cm;8,790571103;;
trial C;2013-06-26;6;21;6;;30-45cm;1,703522995;;
